Year,Brazil,Finland,France,Hungary,Israel,Italy,Japan,Russia,Sweden,Switzerland,Ukraine,United Kingdom,United States
1994,0.0,1.9619383951343928e-07,1.562852727178009e-07,0.0,0.0,1.7478239591708325e-08,1.5866341935535053e-08,1.3481722155188104e-08,1.1366219595362582e-07,0.0,1.9551106592633144e-08,8.656060107681388e-08,6.48258662833043e-08
1998,0.0,1.9364833462432224e-07,1.711039627677777e-07,0.0,0.0,1.7623319175933595e-08,1.5733536820409545e-08,1.3572112024212649e-08,1.1272686281140796e-07,0.0,2.0101714676261885e-08,1.1963766877456845e-07,7.268102116834741e-08
2002,0.0,1.918281220026856e-07,1.8393726067254152e-07,0.0,0.0,1.7487714880296592e-08,1.5638072451189666e-08,1.377258704275011e-08,1.1209505660800359e-07,0.0,2.0842017507294707e-08,1.1799211138455315e-07,7.309966965911188e-08
2003,0.0,1.913143294432753e-07,1.9916351324437364e-07,0.0,0.0,1.7371666811430555e-08,1.561792312858236e-08,1.3830206554134887e-08,1.1171936096525527e-07,0.0,2.101635072086083e-08,1.1752656939943923e-07,7.245976757666934e-08
2004,0.0,1.9076688286913392e-07,1.9770008896504005e-07,0.0,0.0,1.7256850969835025e-08,1.5600137281208074e-08,1.3881080780949605e-08,1.1122233344455567e-07,0.0,2.1178812715759156e-08,1.5031817346717218e-07,7.86714781686648e-08
2005,0.0,1.9015021867275149e-07,1.963350785340314e-07,0.0,0.0,1.7158250544774455e-08,1.5585306173339776e-08,1.3920596915195723e-08,1.1063170704723973e-07,0.0,2.132605404022094e-08,1.4928343949044587e-07,8.135758693397154e-08
2006,0.0,1.8950161076369148e-07,2.113511843795217e-07,0.0,0.0,1.708146148984507e-08,1.5573534335749826e-08,1.3946709622532305e-08,2.1987686895338611e-07,0.0,2.145600446284893e-08,1.479752059321616e-07,8.731893914205783e-08
2007,0.0,1.887504718761797e-07,2.1012138550808967e-07,0.0,0.0,1.702185606318513e-08,1.556492910174794e-08,1.3960046347353874e-08,2.1826912583215104e-07,0.0,2.1567527929948668e-08,1.464486209421528e-07,8.981796891632957e-08
2008,0.0,1.8800526414739612e-07,2.2504782266231574e-07,0.0,0.0,1.6971589559078104e-08,1.555948000217833e-08,1.396170304853786e-08,2.1654395842355998e-07,0.0,2.1664247492363352e-08,1.448225923244026e-07,9.226125752094001e-08
2009,0.0,1.8719580681392737e-07,2.3983499352445517e-07,0.0,0.0,1.69187561330491e-08,1.5557543463887053e-08,1.395410494882332e-08,2.1475357027810587e-07,0.0,2.175284418437711e-08,1.4324595330181923e-07,9.141125925539e-08
2010,0.0,1.8635855385762208e-07,2.862595419847328e-07,0.0,1.3612850530901172e-07,1.685630004214075e-08,1.555911686452677e-08,1.3939322130764781e-08,2.1299254526091587e-07,1.2805736970162633e-07,2.1837875611460518e-08,1.4182161991805862e-07,1.003200533314348e-07
2011,0.0,1.855287569573284e-07,2.8471101831640884e-07,0.0,1.3356484573260318e-07,1.6781620768933865e-08,1.55643234577701e-08,1.391759392636201e-08,2.1126016689553185e-07,1.264702162640698e-07,2.1920210434020166e-08,1.4057667676736123e-07,1.0270103728047653e-07
2012,0.0,1.8467220683287165e-07,2.8317915801397016e-07,1.0137875101378751e-07,1.3131976362442546e-07,1.670034569715593e-08,1.557341306920825e-08,1.3889467616706252e-08,2.0957770093262078e-07,1.2487512487512489e-07,2.200026400316804e-08,1.394808213870593e-07,1.0508081670084446e-07
2013,0.0,1.8385732671446956e-07,2.8171659310733404e-07,1.016880211511084e-07,1.2928248222365869e-07,1.662040653514385e-08,1.5586763720248764e-08,1.3857613026156245e-08,2.0794343938448742e-07,1.2331976815883586e-07,2.208139201095237e-08,1.3849562969346302e-07,1.0745857313978148e-07
2014,4.931841944329368e-09,1.8311664530305806e-07,3.1155559709630186e-07,1.0198878123406425e-07,1.2732365673542143e-07,1.6553550736633008e-08,1.5604397319164542e-08,2.0737566100991948e-08,2.063557573256294e-07,1.2186205215695831e-07,2.2167050895548856e-08,1.5285144368188557e-07,1.1610647905533258e-07
2015,4.890645173911342e-09,1.8244845831052727e-07,3.1030363210401375e-07,1.022704029453876e-07,1.25344697919278e-07,1.6507643038726932e-08,1.562683126928937e-08,2.0691795703003758e-08,2.0481310803891448e-07,1.205254911413764e-07,2.226080762210053e-08,1.5183723048891589e-07,1.2154152045325638e-07
2016,4.850530890605977e-09,1.8188432157148055e-07,3.092719737737366e-07,1.0253255408592229e-07,1.2331976815883586e-07,1.648451280022419e-08,1.5653984330361687e-08,2.0650490449148167e-08,2.03334688897926e-07,1.1933174224343676e-07,2.2364360155655946e-08,1.6591752390720686e-07,1.2073705327290288e-07
2017,4.81153228057007e-09,1.8145527127563057e-07,3.238591675277208e-07,1.027749229188078e-07,1.21300339640951e-07,1.6481524211359068e-08,1.5685905429676165e-08,2.0614306328592042e-08,2.0191822311963656e-07,1.1825922421948913e-07,2.2477971587843915e-08,1.6485081001693467e-07,1.199686235907532e-07
2018,4.773976101475636e-09,1.810610175629187e-07,3.2312166299949225e-07,1.0300782859497322e-07,1.1930326890956813e-07,1.649430121892886e-08,1.57230232229053e-08,2.0585450203795958e-08,2.0056157240272764e-07,1.172882946281961e-07,2.2600913076888308e-08,1.6383187870483453e-07,1.2228825788147823e-07
2019,4.738213693437574e-09,1.8076644974692697e-07,3.2243205895900505e-07,1.0325245224574083e-07,1.1738466956215518e-07,1.6515276630883567e-08,1.5765410688948446e-08,2.056597564988483e-08,1.9928258270227183e-07,1.1640088464672331e-07,2.273037232349866e-08,1.6289056715533837e-07,1.2459544466898636e-07
2020,4.704576141212557e-09,1.8047283883775492e-07,3.2172074639213163e-07,1.0351966873706004e-07,2.310536044362292e-07,1.6539313949257384e-08,1.5813276827224138e-08,2.0557238203571478e-08,1.9803940984255867e-07,1.1554015020219526e-07,2.286550509900764e-08,1.620363550658457e-07,1.268870674888143e-07
2021,4.655691381704659e-09,1.7859756441143487e-07,3.183777797052268e-07,2.048880133341119e-07,2.2865275055539757e-07,1.6367455664777225e-08,1.564896271867802e-08,2.034363008765114e-08,1.959816030109438e-07,1.1433958456427043e-07,2.262791202276857e-08,1.603526522175613e-07,1.285583257232161e-07
